Catalog name,Number of alternative names,Metaphorical and non-metaporical names,Species,Abundance,General shape of the tuber,Eye depth,Primary color of tuber skin,Secondary color of the skin of the tuber,Tuber secondary color distribution,Predominant color of the pulp of the tuber,Secondary color of the pulp of the tuber,Distribution of the secondary color of the flesh,Growth habit,Stem color,Stem wings shape,Number of lateral leaflets,Number of interleafs,Dry matter (%),Yield per plant (kg),Number of tubers per plant,Sprouting time,Adaptation range (msnm),Behavior against frost,Late Blight Resistance,Calyx color,Pedicel color,Flowering degree,Corolla shape,Primary color of the flower,Secondary flower color,Distribution of the secondary color of the flower,Anther pigmentation,Pistil pigmentation,Predominant bud color,Secondary bud color,Distribution of the secondary color of the bud,Berry color,Berry shape,Description of the cultivar,Cultural Uses,Culinary Uses,Cooking Time
Perrito Negro,0,Indirect/Animal and Color,Solanum tuberosum (Group: Andigenum),Scarse,Elongated fusiform,Superficial,Intense purple,Medium yellow,Like glasses,White,Absent,Absent,Semi-erect,Pigmented with little green,Jagged,3 pairs,1 pair,25.51 29.30,0.99 - 1.80,38 - 46,Intermediate,3600 - 4100,Resistant,Resistant,Pigmented with little green,Slightly pigmented along length and at joint,Moderate,Rotated,Intense violet,White,Acumen - back,Pigmented spot on apex,No anthocyanins,Purple,White,At apex,Green with abundant white dots,Ovoid,"This is another variety that belongs to the group of perritos (puppies). The name Perrito Negro is due to the predominantly dark color of the tuber. It is cultivated in small quantities only for family consumption. When parboiled, its skin does not break and its texture is variable. It is commonly used for soup.",,"Roast, parboiled, dry potato",Intermediate
Peruanita,0,Western Name,Solanum tuberosum (Group: Goniocalyx),Abundant,Oblong,Medium,"Red, medium purple",Medium yellow,Scattered spots,Light yellow,Absent,Absent,Semi-erect,Green,Straight,4 pairs,1 pair,32.13 32.74,0.67 - 1.95,25 - 52,Fast,3700 - 4100,Susceptible,Intermediate,Pigmented with abundant green,Fully pigmented,Moderate,Very rotated,Pale purple,Absent,Absent,Pigmented spot on apex,No anthocyanins,Red,White,In buds,Green with pigmented areas,Globose,"It is a variety introduced through the PRONAMACHCS (National Program for Hydrographic Basin Management and Soil Conservation) between the years 1998-2000. All the annexes cultivate it because it is very commercial. Families cultivate it in beds – a strip of land delimited by ridges that contains between 6 to 10 furrows – as the only variety. It is the favorite for the preparation of chuño. When parboiled, its skin breaks quickly, its texture is mealy, and it disintegrates if left to cook for too long. It is good for the preparation of puree and its flavor is tasty.",Introduced by the Government,"Parboiled, chuno, puree, dry potato
(accompanies chicken broth in Tayabamba)",Fast
Pingrina Amarilla,0,Direct/Tuber Color,Solanum tuberosum (Group: Goniocalyx),Abundant,Elongated,Superficial,Intense brown,Absent,Absent,Cream,Purple,Few spots,Semi-erect,Green with few spots,Straight,4 pairs,1 pair,33.27 33.86,0.70 - 1.56,26 - 36,Fast,3600 - 4100,Resistant,Susceptible,Purple,Pigmented over joint,Moderate,Pentagonal,Medium violet,Absent,Absent,No anthocyanins,Pigmentation on inner wall ovary,Violet,White,In buds,Green with pigmented bands,Ovoid,"This is a very old variety that is widely distributed in almost all the annexes that grow native potatoes. It is handled in a mixture together with other varieties for family consumption. During the harvest, this variety is sought after to be cooked for lunch due to its tasty flavor. Its skin breaks quickly when parboiled, its texture is mealy and it disintegrates if it is left to cook for a long time.",,"Parboiled, roast, chuno",Fast
Pingrina Negra,0,Direct/Tuber Color,Solanum tuberosum (Group: Goniocalyx),Abundant,Elongated,Superficial,Intense purple,Medium yellow,Like glasses,Cream,Purple,Scattered areas,Semi-erect,Pigmented with abundant green,Straight,4 pairs,1 pair,31.60 34.49,1.35 - 1.64,44 - 87,Fast,3400 - 4100,Resistant,Intermediate,Pigmented with little green,Pigmented over joint,Moderate,Rotated,Intense lilac,Absent,Absent,No anthocyanins,Pigmentation on inner wall ovary,Purple,Absent,Absent,Green with pigmented bands,Ovoid,"This variety belongs to the ‘pingrinas’ group and is preferred by the population of Tayabamba. Due to its tasty flavor, they usually cook it for lunch on harvest day. It is also accompanied with coffee and/or milk and is also widely consumed roasted on charcoal.",,"Parboiled, roast, chuno",Fast
Piña Blanca,1,Indirect/Crop and Color,Solanum tuberosum (Group: Andigenum),Scarse,Compressed Tuberose,Very,Medium yellow,Absent,Absent,White,Absent,Absent,Decumbent,Green with few spots,Jagged,4 pairs,2 pairs,21.86 23.81,1.10 - 2.03,42 - 117,Intermediate,3500 - 3800,Intermediate,Susceptible,Green with few spots,Green,Moderate,Rotated,Medium purple,White,Acumen - both,No anthocyanins,No anthocyanins,White,Pink,Many stains throughout,Green with pigmented areas,Globose,"Its name is due to the similarity of the tuber with the pineapple (pina) and the white (blanca) color of its skin. This variety is not very common in the community. The families that cultivate it sow it mixed with other varieties but in small quantities. When parboiled, its skin breaks and its texture is moderately mealy. It is consumed as dried potato in soup.",Daughters-in-law challenge,"Parboiled, dry potato",Slow
Piña Negra,1,Indirect/Crop and Color,Solanum tuberosum (Group: Chaucha),Common,Tuberose oblong,Very,Intense blackish,"Red, pale purple",Splattered spots,Yellow,Purple,Few spots,Decumbent,Green with many spots,Jagged,4 pairs,2 pairs,24.33 27.67,0.85 - 2.06,38,Fast,3500 - 3800,Intermediate,Susceptible,Green with abundant spots,Slightly pigmented along length and at joint,Moderate,Rotated,Medium violet,White,Acumen - both,No anthocyanins,No anthocyanins,Purple,Absent,Absent,,,"Its name is due to the similarity of the tuber with the pineapple (pina) and the black (negra) color of its skin. Due to the large number of deep eyes that the tuber has, it was used in the past to test young ladies who wanted to live with their partner. It is said that the young man’s parents made her peel this tuber and if she managed to peel it well, they accepted her as a daughter-in-law because they assumed she knew how to cook and her son would not starve with her. When parboiled, its skin breaks and its texture is moderately mealy.",Daughters-in-law challenge,"Parboiled, dry potato",Intermediate
Plancha,0,No information,Solanum tuberosum (Group: Andigenum),Common,Compressed,Superficial,Intense purple,Absent,Absent,White,Absent,Absent,Semi-erect,Green with few spots,Curly,4 pairs,1 pair,25.71 25.85,0.84 - 2.18,53 - 61,Intermediate,3600 - 4100,Resistant,Resistant,,,Flower abortion,,,,,,,Purple,White,At apex,,,"According to some residents of the Ucchapampa annex, this variety was brought from the Pachupata town, Huaylillas district, Pataz province. It is a variety that usually aborts the flower buds or very rarely shows a flower. It is generally eaten peeled and is also dried to make soup. The ladies mention: “it is soft to peel it; that’s why we make this potato with guinea pig.“",,"Peeled, dry potato, parboiled",Intermediate
Poronga Negra,3,Indirect/Object and Color,Solanum tuberosum (Group: Goniocalyx),Abundant,Concertina obovate,Deep,Intense yellow,Intense purple,Scattered spots,Cream,Absent,Absent,Semi-erect,Green with few spots,Straight,4 pairs,2 pairs,30.00 36.18,0.81 - 2.00,17 - 47,Fast,3500 - 4100,Resistant,Resistant,Pigmented with little green,Slightly pigmented along length and at joint,Moderate,Rotated,Pale white,Lilac,Star,Pigmented spot on apex,No anthocyanins,Purple,White,In buds,Green with pigmented areas,Globose,"Another variety belonging to the group of porongas. It is also known as mashua because of its resemblance to the tuber of that crop (Tropaeolum tuberosum). It’s an old variety and widely distributed among the families of the community that grow it for family consumption. When parboiled, its skin breaks and comes off the pulp, its texture is very mealy and its flavor is tasty.",,"Parboiled, chuno, dry potato",Fast
Poronga Amarilla,0,Indirect/Object and Color,Solanum tuberosum (Group: Goniocalyx),Abundant,Obovate,Deep,Medium yellow,Pale red,Scattered spots,Light yellow,Absent,Absent,Semi-erect,Green,Straight,4 pairs,1 pair,33.21 36.32,0.42 - 2.00,16 - 31,Intermediate,3600 - 4100,Resistant,Resistant,Green with few spots,Pigmented over joint,Moderate,Pentagonal,Pale white,Lilac,Bands on upper face,Pigmented spot on apex,No anthocyanins,Violet,White,In buds,Green,Globose,"It is another variety belonging to the porongas group and widely distributed in the community. Its name is due to the yellow (amarilla) color of its skin. The community members mention that it is “preferred for preparing chuno since it comes out very nice”. Its texture is extremely floury. When parboiled, its skin breaks quickly and disintegrates if it’s left to cook for a long time.",,"Parboiled, roast, chuno, dry potato",Fast
Cordero Gordo,0,Indirect/Animal,Solanum tuberosum (Group: Andigenum),Scarse,Obovate,Medium,"Red, intense purple",Pale yellow,Scattered spots,Cream,Absent,Absent,Semi-erect,Green with few spots,Curly,4 pairs,2 pairs,22.78 26.54,1.07 - 2.09,41 - 95,Intermediate,3600 - 4100,Susceptible,Resistant,Green with few spots,Lightly pigmented throughout with no articulation,Moderate,Rotated,Medium lilac,White,Acumen - both,No anthocyanins,No anthocyanins,Violet,White,At apex,Green with few white dots,Globose,"It is a variety that families grow in small quantities. It is characterized by the hardness of its skin that does not break quickly when parboiled, even though the pulp is already cooked. The residents say “it is easy to peel, just by crushing it at one end the entire skin peels off, so it can be peeled with one hand”. Its texture is moderately floury.",,"Soup, parboiled",Intermediate
Porota,0,Indirect/Plant,Solanum tuberosum (Group: Andigenum),Scarse,Compressed,Medium,Pale yellow,Pale purple,In eyes,White,Absent,Absent,Semi-erect,Green with many spots,Straight,4 pairs,2 pairs,20.32 23.95,1.75 - 2.15,59 - 85,Intermediate,3600 - 3900,Intermediate,Resistant,,,Flower abortion,,,,,,,Purple,White,At apex,,,"This variety owes its name to the fact that its broad leaves resemble those of the bean (Phaseolus vulgaris). It is characterized by aborting flower buds or presenting flowers very rarely. The residents say: “it is easy to peel with a knife because it has almost no eyes, so it is prepared fried”. When parboiled, its skin breaks quickly and its flavor is tasty.",,"Parboiled, peeled, fry, dry potato",Fast
Raiz de Chilca,0,Indirect/Plant,Solanum tuberosum (Group: Andigenum),Common,Reniform elliptical,Medium,Pale yellow,Absent,Absent,Yellow,Absent,Absent,Semi-erect,Green,Curly,3 pairs,1 pair,26.34 27.92,0.96 - 1.15,24 - 34,Intermediate,3500 - 3900,Resistant,Intermediate,Pigmented with abundant green,Slightly pigmented along length and at joint,Moderate,Pentagonal,Medium purple,Absent,Absent,No anthocyanins,No anthocyanins,White,Violet,Few spots throughout,Green with abundant white dots,Globose,"Its name comes from the similarity of the color of the tuber with the color of the roots (raiz) of the chilca plant (Baccharis latifolia), which grows naturally in the area. It is common, but families grow it in small amounts. It has a floury texture and a very tasty flavor. When parboiled, its skin breaks quickly and comes off the pulp.",,"Parboiled, roast",Fast
Miracielo,0,Indirect/State of being,Solanum tuberosum (Group: Andigenum),Scarse,Oblong - elongated,Superficial,Pale yellow,Absent,Absent,Cream,Absent,Absent,Semi-erect,Green,Curly,4 pairs,1 pair,29.46 28.33,1.15 - 2.02,14 - 20,Intermediate,3500 - 4000,Intermediate,Intermediate,Green with abundant spots,Slightly pigmented along length and at joint,Moderate,Pentagonal,Medium purple,White,Acumen - back,No anthocyanins,No anthocyanins,Red,White,At apex,Green,Globose,"According to the residents, “this potato is called Miracielo (sky looking) because its tuber tips always appear above the furrow, no matter how well it is hilled, they always break the ground and appear looking at the sky.“ It is scarce and the few families that have it cultivate it in a mixture. It has a floury texture and tasty flavor. When parboiled, its skin does not break.",,"Parboiled, dry potato",Intermediate
Renacimiento,0,Western Name,Solanum tuberosum (Group: Andigenum),Abundant,Flattened round,Superficial,Medium yellow,Pale purple,Splattered spots,White,Absent,Absent,Semi-erect,Green with few spots,Jagged,4 pairs,1 pair,20.24 25.02,1.10 - 1.65,27 - 128,Intermediate,3500 - 3900,Resistant,Resistant,Pigmented with abundant green,Pigmented over joint,Moderate,Pentagonal,Pale violet,White,Acumen - both,No anthocyanins,No anthocyanins,White,Purple,Few spots throughout,Green with pigmented areas,Conical,"Actually, it is similar to an improved variety formally launched by the Ministry of Agriculture of Peru in 1952. Currently it is confused with a native potato and is cultivated in a mixture with ancestral varieties. The farmers say: “this potato must be covered so that it doesn’t catch sunlight, because it quickly becomes bitter.” It is eaten peeled, prepared with guinea pig, fried potatoes or boiled; it is also dried and eaten in soup. Its texture is watery, but its flavor is tasty.",Introduced by the Government,"Peeled, fry, parboiled, dry potato, stew",Intermediate
Renacimiento Jovero,0,Western Name,Solanum tuberosum (Group: Andigenum),Common,Flattened round,Superficial,Medium yellow,Intense purple,Scattered spots,Cream,Absent,Absent,Semi-erect,Green,Jagged,4 pairs,1 pair,20.08 24.63,0.70 - 1.33,40 - 73,Intermediate,3500 - 4000,Susceptible,Resistant,Green with abundant spots,Slightly pigmented along length and at joint,Moderate,Starry,Intense purple,White,Acumen - front side,No anthocyanins,No anthocyanins,White,Purple,Few spots throughout,Green,Ovoid with terminal mucron,"This variety is grown in a mixture for family consumption. The producers say that “it likes fertilizer”, that is, it needs a dose of fertilization for it to produce. It is preferred for frying since it is easy to peel and its texture is not very mealy. When parboiled, its skin does not break and its flavor is tasty.",Family consumption,"Peeled, fry, parboiled",Fast
Cabanista,0,No information,Solanum tuberosum (Group: Chaucha),Scarse,Elliptical,Superficial,"Red, intense purple",Absent,Absent,Light yellow,Red,Scattered areas,Straight,Green with many spots,Straight,4 pairs,2 pairs,24.81 25.60,0.78 - 1.39,17 - 19,Fast,3600 - 4100,Resistant,Resistant,Pigmented with little green,Fully pigmented,Moderate,Rotated,Intense purple,White,Acumen - back,No anthocyanins,No anthocyanins,Red,Absent,Absent,Green with pigmented bands,Ovoid,"It is a very rare variety that is usually grown in a mixture for family consumption. It produces large tubers, up to about 30 cm in length. Its skin opens quickly when boiled, its texture is mealy and its flavor tasty.",Family consumption,"Parboiled, soup",Fast
Segundita,0,No information,Solanum tuberosum (Group: Andigenum),Common,Flattened oblong,Superficial,"Red, medium purple",Pale yellow,In eyes,White,Absent,Absent,Semi-erect,Green with few spots,Straight,4 pairs,1 pair,23.65 28.33,0.79 - 1.91,32 - 53,Intermediate,3600 - 3900,Resistant,Resistant,Pigmented with little green,Slightly pigmented along length and at joint,Moderate,Pentagonal,Medium lilac,Absent,Absent,No anthocyanins,No anthocyanins,Red,White,At apex,Green with abundant white dots,Globose,"The origin of its name is unknown. Possibly it refers to the fact that the variety produces many tubers, but of a small to intermediate size: it is a second (segunda) rate potato. This variety is characterized by having thick skin and being resistant to the webworm (Premnotrypes sp.). Producers comment that “chuno is not prepared from this potato”. It is commonly used for frying.",,"Peeled, fry, parboiled",Intermediate
Shaypa,2,No information,Solanum tuberosum (Group: Goniocalyx),Abundant,Obovate reniform,Superficial,"Red, intense purple","Red, intense purple",Splattered spots,White,Violet,Narrow vascular ring,Semi-erect,Green with few spots,Curly,4 pairs,2 pairs,28.83 35.31,1.17 - 1.89,28 - 44,Fast,3500 - 4100,Susceptible,Intermediate,Pigmented with abundant green,Slightly pigmented along length and at joint,Moderate,Very rotated,Medium lilac,Absent,Absent,No anthocyanins,Pigmentation on inner wall ovary,Violet,Absent,Absent,Green with pigmented bands,Ovoid,"Variety widely distributed in the community; it is cultivated in a mixture for family consumption. It is prepared roasted on charcoal or to be accompanied with coffee or tea. When parboiled, its skin quickly breaks and the pulp is detached. It has a very floury texture and a very tasty flavor. If it’s left to cook for a long time, the pulp disintegrates. The ladies mention that “when this potato is cooked in a mixture, it must be placed on top of the others, because if it is placed below, none of them will be eaten since it crumbles apart”.",Family consumption,"Roast, chuno, dry potato, parboiled, soup,
stuffed potato",Fast
Chilca Blanca,1,Indirect/Plant and Color,Solanum tuberosum (Group: Andigenum),Common,Flattened round,Medium,Intense purple,Pale yellow,Splattered spots,White,Absent,Absent,Straight,Pigmented with little green,Jagged,4 pairs,1 pair,24.43 27.47,1.03 - 2.00,50 - 78,Intermediate,3300 - 4100,Susceptible,Resistant,Purple,Fully pigmented,Moderate,Pentagonal,Intense lilac,Absent,Absent,No anthocyanins,No anthocyanins,Purple,White,At apex,Green with pigmented areas,Globose,"The name of this variety is due to the dark stem of its plant, similar to the chilca plant (Baccharis latifolia). It is cultivated in mixture for family consumption. It has a moderately floury texture and its flavor is tasty. Its skin does not break when parboiled.",,"Parboiled, chuno",Intermediate
Chilca Negra,1,Indirect/Plant and Color,Solanum tuberosum (Group: Andigenum),Abundant,Round,Medium,Intense purple,Absent,Absent,White,Violet,Few spots,Straight,Green with many spots,Curly,4 pairs,1 pair,26.06 27.67,1.25 - 2.12,56 - 88,Intermediate,3300 - 4100,Resistant,Resistant,Green with abundant spots,Slightly pigmented along length and at joint,Moderate,Half-starred,Medium purple,White,Acumen - both,No anthocyanins,No anthocyanins,Purple,White,At apex,Green with pigmented areas,Globose,"Its name is due to its resemblance to the chilca plant (Baccharis latifolia). It is a variety commonly planted in the area. Produces a large number of tubers per plant. When parboiled, its skin opens, it has a floury texture and its flavor is tasty.",,"Parboiled, chuno",Fast
Curau Shocpi,1,Direct/Origin,Solanum tuberosum (Group: Andigenum),Common,Obovate,Superficial,Pale yellow,"Red, medium purple",Scattered spots,White,Absent,Absent,Semi-erect,Green with few spots,Curly,4 pairs,2 pairs,24.03 28.20,1.14 - 1.75,22 - 29,Intermediate,3700 - 4000,Susceptible,Resistant,Green with few spots,Lightly pigmented throughout with no articulation,Moderate,Pentagonal,Pale lilac,White,Acumen - both,No anthocyanins,No anthocyanins,Red,White,At apex,Green,Ovoid,"It is commonly grown in mixture. According to the producers, it is characterized by being late in emergence and in harvest. The name ‘curau’ may refer to a possible semi-wild origin, since this name also designates a ‘weedy potato’ that commonly grows in corn fields. Its texture is intermediate: not too floury, not too watery. Its taste is rich. It is also an easy variety to peel with a knife. When parboiled, its skin does not break.",,"Parboiled, peeled, fry",Fast
Shocpi Blanco,2,Indirect/Animal and Color,Solanum tuberosum (Group: Andigenum),Common,Oblong,Medium,Pale brown,Intense purple,Scattered spots,Light yellow,Absent,Absent,Semi-erect,Green with many spots,Curly,5 pairs,2 pairs,24.63 29.45,1.35 - 1.78,23 - 53,Intermediate,3600 - 3900,Resistant,Susceptible,Green,Green,Moderate,Rotated,Pale white,Absent,Absent,No anthocyanins,No anthocyanins,Violet,Absent,Absent,Green,Globose,"Farmers say that this variety was introduced from Huamachuco, Sánchez Carrión province, La Libertad region, by the Ministry of Agriculture, through a potato production project. It doesn’t have much of a market, but farmers in Tayabamba adopted it for consumption. Its texture is floury and its flavor is very tasty. When parboiled, the skin breaks.",Introduced by the Government,"Parboiled, peeled, fry",Intermediate
Huevo Indio,1,Indirect/Food,Solanum tuberosum (Group: Andigenum),Abundant,"Oblong, elongated flattened",Superficial,Pale pink,Intense purple,Scattered spots,Light yellow,Absent,Absent,Semi-erect,Pigmented with abundant green,Jagged,3 pairs,1 pair,18.24 20.38,0.51 - 1.36,19 - 94,Intermediate,3600 - 4000,Intermediate,Resistant,Green with few spots,Green,Moderate,Pentagonal,Pale white,Absent,Absent,No anthocyanins,No anthocyanins,Pink,White,At apex,Green,Globose,"It is a very typical native variety of northern Peru, widely distributed in the Sierra de la Libertad and Cajamarca. It is commonly cultivated in mixture for family consumption, it is generally consumed parboiled.",Family consumption,"Fry, parboiled",Intermediate
Shuyto Blanco,1,Direct/Tuber Color,Solanum tuberosum (Group: Andigenum),Common,Obovate,Medium,Pale yellow,Intense purple,In eyes,White,Absent,Absent,Straight,Green with few spots,Straight,4 pairs,1 pair,23.78 29.77,1.18 - 1.81,18 - 74,Fast,3600 - 4100,Susceptible,Susceptible,Purple,Slightly pigmented along length and at joint,Moderate,Rotated,Intense purple,White,Acumen - back,Pigmented bands,No anthocyanins,Purple,White,At apex,Green with few white dots,Ovoid,"It is an old variety that is generally grown in mixture. It is common, but it is planted in small quantities for family consumption. It is susceptible to high levels of soil moisture, which is when the tubers tend to rot more quickly compared to other varieties. Its texture is floury and its flavor is tasty. When parboiled, its skin breaks quickly. Due to the shape of the tuber, it is also eaten peeled and fried.",Family consumption,"Parboiled, peeled, chuno, dry potato, puree, fry",Fast
Shuyto Morado,1,Direct/Tuber Color,Solanum tuberosum (Group: Andigenum),Common,Obovate,Superficial,Medium purple,Medium blackish,Splattered spots,White,Violet,Scattered areas,Semi-erect,Green with many spots,Curly,4 pairs,2 pairs,24.14 30.49,1.06 - 1.60,27 - 59,Intermediate,3500 - 4100,Intermediate,Susceptible,Purple,Slightly pigmented along length and at joint,Moderate,Pentagonal,Pale lilac,White,Acumen - back,Pigmented bands,Pigmentation on inner wall ovary,Purple,White,At apex,Green,Globose,"It is an old variety that is grown in mixture for family consumption. Because it is susceptible to blight, it is sown early (July-August) to avoid its attack. Farmers indicate that it does not rot quickly like other varieties and is good for storage. Due to the dark color of its pulp, it is generally consumed parboiled since it colors the soup and the chuno. Its texture is floury and its flavor tasty. The skin breaks down quickly when cooked.",Family consumption,Parboiled,Fast
Silguera,0,Indirect/Animal,Solanum tuberosum (Group: Goniocalyx),Common,Concertina oval,Medium,Pale yellow,"Red, intense purple",Scattered spots,Yellow,Absent,Absent,Decumbent,Pigmented with little green,Straight,5 pairs,2 pairs,26.00 28.07,0.51 - 0.94,12 - 21,Intermediate,3700 - 3900,Resistant,Susceptible,Pigmented with little green,Fully pigmented,Scarse,Very rotated,Medium purple,Absent,Absent,No anthocyanins,No anthocyanins,Violet,White,At apex,Green with pigmented bands,Globose,"Its name is due to the shape of the tuber, thin and small, which resembles a local bird known as a Silguero. It is a variety susceptible to blight. It has a floury texture and good flavor. Farmers prefer it for parboiling.",,"Parboiled, chuno, soup",Fast
Tabaca,0,No information,Solanum tuberosum (Group: Andigenum),Common,Elliptical,Medium,Intense blackish,Absent,Absent,White,Purple,Narrow vascular ring,Semi-erect,Green with many spots,Curly,5 pairs,2 pairs,16.35 19.37,1.19 - 1.96,15 - 26,Fast,3600 - 3900,Resistant,Susceptible,Pigmented with little green,Slightly pigmented along length and at joint,Moderate,Rotated,Medium purple,White,Acumen - both,Pigmented bands,Pigmentation on inner wall ovary,Purple,White,At apex,Green with pigmented areas,Globose,"It is a common variety, planted in mixture for family consumption. Produces few but generally large tubers. Tubers up to 35 cm in length have even been observed. It is watery in texture, but its flavor is tasty. When parboiled, its skin does not break.",Family consumption,"Parboiled, roast",Slow
Tananta,1,No information,Solanum tuberosum (Group: Andigenum),Common,Round,Medium,Pale yellow,Pale purple,In eyes,White,Absent,Absent,Semi-erect,Green with few spots,Straight,4 pairs,2 pairs,26.56 28.68,1.15 - 1.98,39 - 72,Intermediate,2800 - 3900,Susceptible,Resistant,Green with abundant spots,Slightly pigmented along length and at joint,Scarse,Half-starred,Intense lilac,White,Acumen - back,No anthocyanins,No anthocyanins,White,Purple,At base,,,"It is a variety grown in mixture for family consumption and produces a large number of tubers per plant. It differs from the Tananta Blanca variety because of the purple spots on its eyebrows. It has a floury texture and a tasty flavor. When parboiled, its skin breaks and it is preferred for the preparation of chuno.",Family consumption,"Parboiled, chuno, dry potato",Fast
Tananta Blanca,0,Direct/Tuber Color,Solanum tuberosum (Group: Andigenum),Common,Round,Medium,Medium brown,Absent,Absent,White,Absent,Absent,Semi-erect,Green with few spots,Jagged,4 pairs,2 pairs,26.56 32.08,1.15 - 1.69,51 - 148,Intermediate,3300 - 3900,Resistant,Susceptible,Pigmented with abundant green,Slightly pigmented along length and at joint,Scarse,Half-starred,Intense lilac,White,Acumen - both,No anthocyanins,No anthocyanins,White,Purple,Many stains throughout,,,"It is a variety that is grown in mixture for family consumption. Produces a large number of small tubers per plant. It has a floury texture and tasty flavor. The community members say that “this potato is consumed cumbra (not very cooked) since it is tastier that way”. When parboiled, its skin breaks, although it takes time to cook.",Family consumption,"Parboiled, chuno",Slow
Tarantina Negra,0,Direct/Tuber Color,Solanum tuberosum (Group: Andigenum),Abundant,Flattened round,Superficial,Intense blackish,"White, medium cream",Like glasses,White,Violet,Few spots,Decumbent,Green with few spots,Jagged,4 pairs,1 pair,27.20 29.66,0.61 - 1.93,16 - 79,Intermediate,3600 - 4100,Resistant,Resistant,Pigmented with abundant green,Slightly pigmented along length and at joint,Scarse,Half-starred,Intense lilac,White,Acumen - both,Pigmented spot on apex,No anthocyanins,White,Purple,At base,,,"It is an old variety, grown in mixture for family consumption. It is characterized by having a very late vegetative period. The producers say: “this variety is sown first and harvested last”. They also mention that it is resistant to the webworm (Premnotrypes sp.). It has a floury texture and its flavor is tasty. When parboiled, its skin does not break.",Family consumption,"Parboiled, chuno",Intermediate
Tarantina Blanca,0,Direct/Tuber Color,Solanum tuberosum (Group: Andigenum),Abundant,Flattened round,Superficial,Medium yellow,"Red, intense purple",In eyes,Cream,Purple,Few spots,Semi-erect,Green with few spots,Curly,4 pairs,1 pair,26.39 28.20,0.93 - 1.54,30 - 50,Intermediate,3600 - 4000,Resistant,Susceptible,Pigmented with abundant green,Green,Scarse,Pentagonal,Intense lilac,White,Acumen - both,No anthocyanins,No anthocyanins,Purple,White,At apex,,,"It is cultivated in mixture for family consumption. Producers mention that “when stored, it changes flavor quickly”. Its texture is floury, a bit chewy and its flavor is very tasty. It is good for chuno, it takes time to cook and its skin breaks.",Family consumption,"Parboiled, chuno",Slow
Tarantina Jovera,0,Direct/Tuber Color,Solanum tuberosum (Group: Andigenum),Common,Flattened round,Superficial,Intense blackish,Medium brown,Scattered spots,Cream,Violet,Few spots,Semi-erect,Green with few spots,Curly,4 pairs,2 pairs,27.03 29.92,0.81 - 2.03,36 - 78,Intermediate,3600 - 4100,Susceptible,Resistant,,,Flower abortion,,,,,,,Purple,White,Many stains throughout,,,"It is a variety cultivated in mixture for family consumption. It is characterized by the abortion of flower buds or by flowering very rarely. The tuber is similar to that of the Tarantina Negra, but with a lower proportion of dark areas. It has a floury texture and a tasty flavor. It takes time to cook and its skin does not break.",Family consumption,"Parboiled, chuno, roast",Slow
Trujillana Colorada,0,Direct/Origin and Tuber Color,Solanum tuberosum (Group: Chaucha),Abundant,"Oblong, elongated",Superficial,"Red, intense purple",Absent,Absent,Cream,Red,Few spots,Semi-erect,Green with many spots,Straight,4 pairs,2 pairs,26.92 26.94,0.71 - 0.94,28 - 42,Intermediate,3700 - 4100,Resistant,Resistant,Purple,Fully pigmented,Moderate,Rotated,Pale purple,White,Acumen - back,Pigmented bands,Pigmentation on inner wall ovary,Red,Absent,Absent,Green with pigmented areas,Globose,"According to the residents of Ucchapampa, it is a variety introduced from the Huánuco region. It is commonly confused with the Huayra Colorada variety due to the shape and color of the tuber. It is a commercial variety that is cultivated in small fields. It has a floury texture and a very tasty flavor. When parboiled, its skin breaks and the pulp disintegrates if it is cooked for a long time.",Commercial,"Parboiled, chuno, peeled, soup",Fast
Trujillana Jovera,1,Direct/Origin and Tuber Color,Solanum tuberosum (Group: Chaucha),Common,Oblong,Superficial,Pale yellow,"Red, intense purple",Scattered spots,Light yellow,Absent,Absent,Semi-erect,Green with many spots,Jagged,5 pairs,2 pairs,26.96 27.25,0.91 - 1.75,23 - 46,Intermediate,3700 - 4100,Resistant,Resistant,Pigmented with abundant green,Slightly pigmented along length and at joint,Moderate,Pentagonal,Medium purple,White,Acumen - back,No anthocyanins,Pigmented (stigma and ovary),Red,Absent,Absent,Green with pigmented areas,Globose,It is a commercial variety originally introduced from central Peru. It is currently distributed in most of the annexes of Tayabamba. It is commercial and is cultivated in beds. Its texture is floury and its flavor is very tasty. Its skin breaks when parboiled.,Commercial,"Parboiled,chuno, peeled, soup, dry potato",Fast
Trujillana Negra,0,Direct/Origin and Tuber Color,Solanum tuberosum (Group: Chaucha),Scarse,Oblong,Medium,Intense purple,Pale blackish,Splattered spots,Light yellow,Absent,Absent,Semi-erect,Green with many spots,Curly,4 pairs,2 pairs,25.48 26.73,1.14 - 1.75,21 - 32,Intermediate,3700 - 4100,Resistant,Resistant,Pigmented with little green,Pigmented over joint,Moderate,Pentagonal,Medium violet,White,Acumen - back,No anthocyanins,Pigmentation on inner wall ovary,Purple,Absent,Absent,Green with pigmented areas,Ovoid,This variety of the Trujillana group is rare and cultivated in mixture for family consumption. It is a robust variety against diseases and frost. It has a floury texture and a very tasty flavor.,Family consumption,"Parboiled, chuno",Fast
