Catalog name,Number of alternative names,Metaphorical and non-metaporical names,Species,Abundance,General shape of the tuber,Eye depth,Primary color of tuber skin,Secondary color of the skin of the tuber,Tuber secondary color distribution,Predominant color of the pulp of the tuber,Secondary color of the pulp of the tuber,Distribution of the secondary color of the flesh,Growth habit,Stem color,Stem wings shape,Number of lateral leaflets,Number of interleafs,Yield per plant (kg),Number of tubers per plant,Sprouting time,Adaptation range (msnm),Behavior against frost,Late Blight Resistance,Calyx color,Pedicel color,Flowering degree,Corolla shape,Primary flower color,Secondary flower color,Distribution of the secondary color of the flower,Anther pigmentation,Pistil pigmentation,Predominant bud color,Secondary bud color,Distribution of the secondary color of the bud,Description of the cultivar,Cultural Uses,Culinary Uses,Cooking Time
Puka Huayro,1,Direct/Tuber Color,Solanum tuberosum (Group Chaucha),Abundant ,Oblong ,Superficial,deep red,Absent,Absent ,light yellow,Absent,Absent   ,Semi-erect,"Green, with many spots",Straight,6 pairs,2 pairs,0.55 kg,17,Intermediate,3800 - 4200 msnm,Tolerant,Susceptible,"Pigmented, with abundant green ",Lightly pigmented along length and joint,Moderate,Pentagonal ,light purple,White,Acumen - underside    ,Without anthocyanins   ,Pigmented inner ovary wall,Red,White,at apex   ,"It is planted separately, due to its commercial value. It is the variety with the highest yield compared to other potatoes. It is late in terms of maturation. The people of the ravines love this potato, which is why it is in demand in barter.",Commercial and Barter,"Parboiled, pachamanca, watya, puree, chicken broth, huancaína potato",Short
Puka Huayro Machu,2,Direct/Tuber Color,Solanum tuberosum (Group Chaucha),Abundant ,Oblong-elongated nailed,Superficial,Light red-purple,Absent,Absent ,White ,Red,Vascular ring and medulla,Semi-erect,"Pigmented, with abundant green",Straight,6 pairs,2 pairs,0.31 kg,15,Late,3800 - 4300 msnm,Susceptible,Susceptible,"Green, with abundant spots ",Lightly pigmented along length and joint,Moderate,Rotated ,Intermediate purple,White,Acumen - underside    ,Without anthocyanins   ,Pigmented inner ovary wall,Red,Absent,Absent    ,"It is a variety susceptible to rot and also to damage during transport. Due to its shape, the tuber is exposed to breaking. Due to its pigmentation, it is a commercial variety, preferred for making potato flakes.",Commercial,"Parboiled, vodka, chips and flakes, puree, pachamanca, broth",Short
Puka Imilla,1,Indirect/Object,Solanum tuberosum (Group Chaucha),Scarce ,flattened oblong,Deep,Light red-purple,Absent,Absent ,White ,Absent,Absent   ,Decumbent,"Green, with few spots",Straight,5 pairs,2 pairs,0.64 kg,14,Early,3800 - 4200 msnm,Tolerant,Resistant,"Green, with abundant spots ",Lightly pigmented along length and joint,Moderate,Rotated ,light purple,White,Acumen - both (beam and underside) ,Without anthocyanins   ,Pigmented inner ovary wall,Purple,Absent,Absent    ,"This variety is planted only in chaqru. In the past, this variety was cooked in putki, which is a way of preparing a snack like pachamanca during harvest time. It consists of placing the potato in a clay pot without water, covering it with straw or ichu and turning it over on the ground, then the pot is burned on the outside with straw and after 20-30 minutes the potato is already cooked for the snack.",,"Parboiled, chuño, stews, puree",Intermediate
Puka Llumchuy Waqachi,2,Indirect/Custom and Color,Solanum tuberosum (Group chaucha),Abundant ,tuberosized oblong,Deep,Intermediate red-purple,Absent,Absent ,Yellow ,Absent,Absent   ,Decumbent,"Pigmented, with abundant green",Wavy,4 pairs,1 pair,0.8 kg,14,Intermediate, -  ,Susceptible,Susceptible,"Green, with abundant spots ",Lightly pigmented along length and joint,Moderate,Rotated ,light purple,White,Acumen - both (beam and underside) ,Pigmented bands   ,Pigmented inner ovary wall,Red,Absent,Absent    ,"It is a native red-skinned variety with a rather whimsical shape; In the past they used it to test the peeling skills of future daughters-in-law. Only those who managed to peel it while maintaining the shape of the tuber were considered ready to marry. Due to the difficulty of this test, her name is derived: Llumchuy (daughter-in-law) waqachi (the one who makes people cry).",Daughters-in-law challenge,Parboiled,Intermediate
Puka Murunquis,1,Direct/Tuber Color,Solanum tuberosum (Group Chaucha),Common ,Round ,Deep,Medium brown,Red-purple,Scattered spots,Yellow ,Absent,Absent   ,Decumbent,"Green, with many spots",Straight,6 pairs,3 pairs,0.41 kg,13,Intermediate,4100 - 4300 msnm,Tolerant,Resistant,"Green, with abundant spots ",Lightly pigmented along length and joint,Scarce,Very rotated,light purple,White,Acumen - underside    ,Pigmented bands   ,Pigmented inner ovary wall,Red,White,Few stains throughout,The tubers of this variety only grow between small and medium. This potato is appreciated by farmers for its shape and pleasant flavor. It is part of the planting in chaqru. It is also known as muru tarmeña,,"Parboiled, chuño, soup",Intermediate
Puka Ñata,2,Direct/Tuber Color and Shape,Solanum tuberosum (Group Andigenum),Very scarce,Compressed ,Average,light brown,Red-purple,Splattered stains,Yellow ,Absent,Absent   ,Decumbent,"Green, with few spots",Absent,4 pairs,1 pair,0.22 kg,10,Intermediate,3800 - 4200 msnm,Susceptible,Tolerant,"Green, with abundant spots ",Lightly pigmented along length and joint,Scarce,Rotated ,light purple,White,Acumen - underside    ,Pigmented bands   ,Without anthocyanins  ,Red,Absent,Absent    ,"It is a rare variety, commonly planted in chaqru. According to farmers, it has kidney healing properties and in the past it had excellent production. It has a medium texture, neither watery nor mealy, but it has a sweet flavor.",Health Benefits,"Parboiled, soups, chuño, puree",Intermediate
Puka Ñawi Ñata,2,Direct/Tuber Color and Shape,Solanum tuberosum (Group Goniocalyx),Very scarce,Compressed ,Deep,deep brown,Red-purple,like glasses,White ,Absent,Absent   ,Decumbent,Green   ,Absent,5 pairs,3 pairs,0.7 kg,16,Intermediate,3600 - 4000 msnm,Susceptible,Susceptible,"Pigmented, with little green ",Pigmented on joint    ,Profuse,Rotated ,light purple,Absent,Absent      ,Without anthocyanins   ,Without anthocyanins  ,Purple,White,in buds   ,This native variety is only found in chaqru on the custodians' farms. It is highly appreciated for its floury texture and pleasant flavor. It is used for barter.,Barter,"Parboiled, chuño, soup, pachamanca",Intermediate
Puka Ñawi Pasña,3,Indirect/Person and Color,Solanum tuberosum (Group Goniocalyx),Scarce ,Flattened round,Superficial,light brown,Purple,on eyebrows,Cream ,Absent,Absent   ,semi-roseate,Green with many spots,Wavy,5 pairs,1 pair,0.58 kg,10,Intermediate,3800 - 4200 msnm,Tolerant,Susceptible,Purple    ,Lightly pigmented along length and joint,Moderate,Rotated ,Intermediate purple,Absent,Absent      ,Without anthocyanins   ,Without anthocyanins  ,White,Violet,Many stains throughout,"It is a variety highly appreciated by farmers, who recognize it from afar in the fields where it is grown due to the yellowish greenness of the foliage. The tubers have pigmentation in the eyes. At harvest the tubers do not loosen their stolon.",,"Parboiled, chuño",Intermediate
Puka Palta,3,Direct/Tuber Color and Shape,Solanum tuberosum (Group Andigenum),Scarce ,Flattened round,Superficial,Deep pink,Red-purple,Splattered stains,Cream ,Absent,Absent   ,semi-erect decumbent,Green   ,Straight,"5 or 4 pairs,",2 pairs,0.54 kg,23,Intermediate,3900 - 4200 msnm,Tolerant,Resistant,"Green, with abundant spots ",Pigmented joint only    ,abortion buttons,Pentagonal ,"Purple, white intermediate ",purple white,Both acumen (upper and underside)  ,Without anthocyanins   ,Pigmented inner ovary wall,Purple,White,in buds   ,"This variety has a watery texture. When the tuber is exposed to the sun, it acquires a spicy flavor. It is only planted in chaqru. When only native potatoes were consumed in the communities, before improved potatoes arrived, this variety was used mostly in soups, stews and stir-fries.",,"Parboiled, soup, chuño, stews",Intermediate
Puka Pasña,1,Indirect/Person and Color,Solanum tuberosum (Group Chaucha),Abundant ,Compressed ,Average,Light red-purple,Blackish,around the eyes,Cream ,Absent,Absent   ,Decumbent,Reddish   ,Straight,6 pairs,3 pairs,0.55 kg,22,Intermediate,4000 - 4100 msnm,Tolerant,Susceptible,"Pigmented, with abundant green ",Fully pigmented     ,Moderate,Pentagonal ,deep purple,White,Acumen - underside    ,Without anthocyanins   ,Pigmented ovary  ,White,Purple,At base   ,"It is only planted in chaqru. They are very pretty potatoes, that's why they are called pasña (miss). Farmers say that this variety participates in the potato festival, where it is stolen and appears in other farms, which explains why it appears in other farmers' fields. They also say that they are very conceited, if you don't take good care of them, they will leave the farm.","Personhood (Conceited, May Scape)","Parboiled, chuño",Intermediate
Puka Pumapa Makin,2,Indirect/Body parts,Solanum tuberosum (Group Andigenum),Scarce ,Oblong-elongated fingered,Average,Intermediate red-purple,Absent,Absent ,light yellow,Absent,Absent   ,Decumbent,"Green, with few spots",Wavy,4 pairs,1 pair,0.67 kg,20,Intermediate,3800 - 4000 msnm,Tolerant,Resistant,"Green, with abundant spots ",Lightly pigmented along length and joint,Moderate,Rotated ,Intermediate white,Absent,Absent      ,Without anthocyanins   ,Pigmented inner ovary wall,Red,White,in buds   ,"It is a variety that is shaped like a puma's paw. Few farmers grow it in chaqru, so it is scarce. Currently, only the custodians preserve it.",,"Parboiled, chuño",Short
Puka Puqya,0,Indirect/Body parts,Solanum tuberosum (Group Andigenum),Very scarce,Round ,Deep,Intense red-purple,Blackish,in the eyes,Cream ,Red,Few stains  ,Decumbent,"Green, with many spots",Wavy,5 pairs,3 pairs,0.45 kg,12,Intermediate,4000 - 4200 msnm,Tolerant,Tolerant,"Green, with few spots ",Lightly pigmented along length and joint,Moderate,Semi-starred ,light white,Absent,Absent      ,Without anthocyanins   ,Pigmented inner ovary wall,Purple,White,in buds   ,It is a variety that is very tolerant to frost and hail and is highly appreciated by families who live in high areas. Farmers attribute anti-cancer properties to it. This variety cannot be eaten cold because it causes stomach colic. Produces uniform medium tubers.,Family consumption,"Parboiled, chuño",Prolonged
Puka Qala,1,Direct/Tuber Color and Skin,Solanum tuberosum (Group Andigenum),Very scarce,Oblong-elongated nailed,Average,deep brown,Red-purple,Splattered stains,Cream ,Absent,Absent   ,Decumbent,Green   ,Straight,5 pairs,2 pairs,0.48 kg,13,Late,3800 - 4200 msnm,Tolerant,Susceptible,"Green, with few spots ",Lightly pigmented along length and joint,Scarce,Rotated ,light purple,White,Acumen - both (beam and underside) ,Without anthocyanins   ,Without anthocyanins  ,Red,White,at apex   ,This variety is mostly consumed in chuño. In some communities it is also known as cow tongue. It has a short shelf life,,"Parboiled, chuño, soup",Intermediate
Puka Saco Largo,2,Indirect/Personality and Color,Solanum tuberosum (Group Goniocalyx),Very scarce,Oblong-elongated concertinate,Average,Intermediate red-purple,Absent,Absent ,White ,Purple,Wide vascular ring ,Decumbent,"Green, with few spots",Straight,5 pairs,3 pairs,0.66 kg,17,Late,4100 - 4300 msnm,Susceptible,Susceptible,"Green, with abundant spots ",Lightly pigmented along length and joint,Moderate,Rotated ,Intermediate white,Absent,Absent      ,Without anthocyanins   ,Pigmented inner ovary wall,Purple,White,at apex   ,"It is a variety that is planted in chaqru. It has a floury texture when parboiled, but it is delicate as it tends to rot.",,"Parboiled, soup, stew, puree",Short
Puka Seda Monillo,1,Indirect/Object,Solanum tuberosum (Group Stenotomum),Scarce ,Concertinate oblong,Deep,light red,Brown,Splattered stains,Cream ,Absent,Absent   ,Decumbent,"Green, with many spots",Wavy,3 pairs,2 pairs,0.95 kg,21,Intermediate,3300 - 4000 msnm,Tolerant,Resistant,"Pigmented, with abundant green ",Fully pigmented     ,Scarce,Very rotated,light purple,White,Acumen - both (beam and underside) ,Without anthocyanins   ,Pigmented stigma  ,Purple,White,Few stains throughout,It is a potato that bears that name because of its resemblance to the silk blouses of single women. It is planted in chaqru. Currently it is preserved only by some custodians.,,"Parboiled, chuño, pachamanca",Prolonged
Puka Suytu Llumchuy Waqachi,4,Indirect/Custom and Color,Solanum tuberosum (Group Andigenum),Scarce ,tuberosized oblong,Deep,Intermediate red-purple,Absent,Absent ,Cream ,Absent,Absent   ,Semi-erect,"Green, with many spots",Wavy,4 pairs,2 pairs,0.77 kg,11,Intermediate,3800 - 4300 msnm,Tolerant,Susceptible,"Green, with abundant spots ",Lightly pigmented along length and joint,Scarce,Rotated ,Intermediate purple,White,Acumen - underside    ,Without anthocyanins   ,Pigmented inner ovary wall,Purple,Absent,Absent    ,"It served as a tradition to choose a suitable daughter-in-law. This variety is only planted in chaqru. The tubers are very sensitive to humidity, and tend to rot quickly. It does not resist the movement of transfer.",Daughters-in-law challenge,Parboiled,Intermediate
Puka Tarmeña,1,Direct/Origin and Tuber Color,Solanum tuberosum (Group Chaucha),Scarce ,Compressed ,Average,Intermediate red-purple,Absent,Absent Yellow,Absent ,Absent,Red   ,Decumbent,"Green, with many spots",Wavy,4 pairs,1 pair,0.79 kg,17,Intermediate,3300 - 4300 msnm,Tolerant,Resistant,"Green, with abundant spots ",Lightly pigmented along length and joint,Moderate,Very rotated,light purple,White,Acumen - underside    ,Pigmented bands   ,Pigmented inner ovary wall,Absent,Absent,,"It is only planted in chaqru. It is very rich and floury. The probable place of origin of this variety is the province of Tarma in the Junín region, hence its name.",,"Parboiled, chuño, soup, puree",Intermediate
Puka Tornillo,1,Indirect/Object,Solanum tuberosum (Group Andigenum),Scarce ,Oblong-elongated concertinate,Average,Intermediate red-purple,Absent,Absent ,Cream ,Absent,Absent   ,Decumbent,"Green, with few spots",Straight,5 pairs,3 pairs,0.87 kg,14,Intermediate,4000 - 4100 msnm,Tolerant,Resistant,"Pigmented, with little green ",Lightly pigmented along length and joint,Moderate,Rotated ,Intense red-purple,Absent,Absent      ,Without anthocyanins   ,Without anthocyanins  ,Red,Absent,Absent    ,It is only planted in chaqru. Its name is related to the screw shape that the tubers have. It has a semi-floury texture and pleasant flavor.,,Parboiled,Intermediate
Puka Traqin Waqachi,1,Indirect/Human action,Solanum tuberosum (Group Andigenum),Infrequent,Compressed ,Average,Medium brown,Red-purple,Splattered stains,Cream ,Absent,Absent   ,Decumbent,"Green, with many spots",Wavy,4 pairs,2 pairs,0.74 kg,20,Intermediate,3800 - 4300 msnm,Tolerant,Susceptible,"Pigmented, with abundant green ",Lightly pigmented along length and joint,Scarce,Rotated ,light purple,White,Acumen - both (beam and underside) ,Without anthocyanins   ,Without anthocyanins  ,Red,White,Few stains throughout,"According to farmers, its name is due to the fact that this variety has a high yield and that is why its transfer makes the “muleteers” cry. Long ago, crops were moved with flames.",,"Parboiled, chuño, pachamanca",Intermediate
Puka Tunau,2,Indirect/Object,Solanum tuberosum (Group Andigenum,Scarce ,Oblong-elongated ,Outstanding,Light red-purple,Absent,Absent ,Cream ,Red,narrow vascular ring ,Decumbent,"Green, with many spots",Straight,4 pairs,1 pair,0.50 kg,18,Intermediate,3800 - 4400 msnm,Tolerant,Resistant,"Green, with abundant spots ",Lightly pigmented along length and joint,Scarce,Very rotated,light purple,White,Acumen - underside    ,Apex pigmented spot  ,Without anthocyanins  ,Purple,White,Many stains throughout,"It is a variety that is only planted in chaqru. When you parboil it and eat it, it gives the sensation of having salt. Its name derives from tunau, which is the large stone at the top of the fulling mill with which it is ground.",,"Parboiled, chuño",Intermediate
Puka Uva,2,Indirect/Crop,Solanum tuberosum (Group Chaucha),Scarce ,tuberosized oblong,Average,Light red-purple,Absent,Absent ,Yellow ,Absent,Absent   ,Decumbent,"Green, with many spots",Straight,5 pairs,1 pair,0.37 kg,9,Intermediate,4000 - 4200 msnm,Tolerant,Susceptible,"Pigmented, with abundant green ",Lightly pigmented along length and joint,Scarce,Rotated ,White Acumen,-,both (beam and underside)   ,Without anthocyanins   ,Pigmented inner ovary wall,Red,Absent,Absent    ,"It is planted only in chaqru and belongs to the llumchuy waqachi group. This variety suffers from rapid rot. As for its texture, it is watery (luqlu).",,Parboiled,Intermediate
Puka Wayta,1,Indirect/Plant,Solanum tuberosum (Group Chaucha),Scarce ,Compressed ,Deep,Light red-purple,Absent,Absent ,Yellow ,Absent,Absent   ,Decumbent,"Green, with many spots",Straight,4 pairs,3 pairs,0.99 kg,10,Intermediate,4000 - 4100 msnm,Tolerant,Resistant,"Green, with few spots ",Lightly pigmented along length and joint,Scarce,Very rotated,light purple,White,Acumen - both (beam and underside) ,Pigmented bands   ,Pigmented inner ovary wall,Red,Absent,Absent    ,It is only planted in chaqru. It is a variety with a floury texture with good flavor according to farmers.,,"Parboiled, chuño, pachamanca",Intermediate
Puka Witqis,2,Indirect/Body parts,Solanum tuberosum (Group Andigenum),Very scarce,Oblong-elongated ,Average,Intermediate red-purple,Yellow,like glasses,Cream ,Red,narrow vascular ring ,Semi-erect,"Green, with many spots",Wavy,4 pairs,2 pairs,2.1 kg,32,Intermediate,3900 - 4200 msnm,Tolerant,Susceptible,"Green, with abundant spots ",Lightly pigmented along length and joint,Moderate,Rotated ,Intermediate purple,White,Acumen - underside    ,Without anthocyanins   ,Pigmented inner ovary wall,Red,White,in buds   ,"It is a variety that is planted in chaqru. This variety is sensitive to excess humidity, which is why it reacts unfavorably to phytophthora infestans.",,"Parboiled, chuño, barter, broth",Intermediate
Putis,1,Indirect/Body parts and State of Being,Solanum tuberosum (Group Andigenum),Common ,Oblong ,Average,Intense red-purple,Absent,Absent ,White ,Purple,Vascular ring and medulla,Decumbent,"Green, with few spots",Straight,5 pairs,2 pairs,1.51 kg,17,Intermediate,3800 - 4300 msnm,Tolerant,Susceptible,"Green, with abundant spots ",Lightly pigmented along length and joint,Scarce,Rotated ,deep purple,Absent,Absent      ,Without anthocyanins   ,Pigmented inner ovary wall,Violet,White,at apex   ,"This potato has a floury texture. It was introduced from Andahuaylas after the macroregional frost that occurred on February 17, 2007.",,"Parboiled, fried, chuño, soups, stews",Intermediate
Qala Suytu,2,Direct/Tuber Shape,Solanum tuberosum (Group Andigenum),Abundant ,oblong-elongated flattened,Outstanding,light red,Red-purple,Splattered stains,Cream ,Absent,Absent   ,Decumbent,"Green, with few spots",Straight,6 pairs,3 pairs,0.84 kg,25,Late,3500 - 4200 msnm,Tolerant,Susceptible,"Green, with abundant spots ",Lightly pigmented along length and joint,Profuse,Pentagonal ,light purple,White,Acumen - both (beam and underside) ,Apex pigmented spot  ,Pigmented inner ovary wall,Violet,White,in buds   ,This variety is planted in chaqru. Farmers in the area consider it an “old potato” or “grandfather's potato.” This variety is planted mainly to prepare chuño because it has a thin skin and a lot of water. The chuño pasi comes out very delicious.,,"Parboiled, pachamanca, chuño, soup",Prolonged
Qala Uchu,4,Indirect/Animal,Solanum tuberosum (Group Andigenum),Infrequent,oblong-elongated flattened,Superficial,Intermediate yellow,Absent,Absent ,Cream ,Absent,Absent   ,Erect,Green   ,Straight,5 pairs,2 pairs,0.27 kg,17,Intermediate,3800 - 4300 msnm,Tolerant,Resistant,"Pigmented, with abundant green ",Lightly pigmented along length and joint,Moderate,Rotated ,deep purple,White,Acumen - underside    ,Pigmented bands and apex ,Pigmented style  ,Violet,Absent,Absent    ,"This variety is very scarce in the chaqrus, it is planted separately to be used in chuño, because it is highly appreciated for its quality. Its name refers to the characteristics of the tuber: smooth, naked, with superficial eyes.",,"Chuño, soup, parboiled",Intermediate
Qalapa Waran,3,Indirect/Object,Solanum tuberosum (Group Goniocalyx),Scarce ,Oblong-elongated ,Superficial,Medium brown,Red-purple,Scattered spots,Cream ,Red,Vascular ring and medulla,Semi-erect,"Green, with few spots",Wavy,4 pairs,1 pair,0.72 kg,15,Intermediate,3900 - 4400 msnm,Tolerant,Resistant,"Green, with few spots ",Pigmented on joint    ,Moderate,Very rotated,light purple,White,Acumen - underside    ,Pigmented bands   ,Pigmented inner ovary wall,Red,White,in buds   ,"It is only planted in chaqru. This variety has a pleasant flavor, is mealy and attractive due to the red pigment in its pulp. When the tuber ages it is sweet due to the storage of sugars.",,"Parboiled, chuño",Intermediate
Qallu Qallu,2,Indirect/Body parts,Solanum tuberosum (Group Andigenum),Scarce ,Oblong ,Average,light brown,Red,Splattered stains,Cream ,Absent,Absent   ,Decumbent,Green   ,Straight,6 pairs,2 pairs,0.9 kg,22,Intermediate,3800 - 4200 msnm,Tolerant,Tolerant,"Green, with abundant spots ",Lightly pigmented along length and joint,Moderate,Pentagonal ,Intermediate purple,White,Acumen - both (beam and underside) ,Without anthocyanins   ,Without anthocyanins  ,White,Pink,at apex   ,"It is watery and is only found in chaqru. Its name is due to the fact that it looks like a tongue, due to its smooth skin.",,"Parboiled, pachamanca, chuño",Short
Qellu Uku Ñata,1,Direct/Tuber Color and Shape,Solanum tuberosum (Group Goniocalyx),Very scarce,Compressed ,Average,Intense red-purple,Brown,Splattered stains,light yellow,Purple,Few stains  ,Decumbent,"Green, with many spots",Wavy,4 pairs,3 pairs,0.76 kg,9,Intermediate,3900 - 4200 msnm,Tolerant,Tolerant,"Green, with few spots ",Lightly pigmented along length and joint,Moderate,,light purple,White,Acumen - both (beam and underside) ,Apex pigmented spot  ,Pigmented inner ovary wall,Purple,White,Few stains throughout,"This variety can be found in most homes but with very little quantity, it is scarce. It belongs to the group of varieties of compressed tubers. ",,"Parboiled, puree, chuño, pachamanca, watya",Short
Qellu Wayru,1,Direct/Tuber Color,Solanum tuberosum (Group Chaucha),Infrequent,Concertinate oblong,Average,Intermediate yellow,Absent,Absent ,light yellow,Absent,Absent   ,Decumbent,"Green, with few spots",Absent,4 pairs,2 pairs,1.05 kg,30,Early,3800 - 4300 msnm,Tolerant,Susceptible,"Green, with abundant spots ",Lightly pigmented along length and joint,Scarce,Rotated ,Intermediate purple,White,Acumen - underside    ,Without anthocyanins   ,Without anthocyanins  ,Red,White,in buds   ,It is a variety used by farmers to cure kidney diseases. It is highly appreciated for its floury texture and pleasant flavor.,,"Parboiled, chuño, pachamanca",Short
Qequrani,2,No information,Solanum tuberosum (Group Goniocalyx),Abundant ,Oblong-elongated ,Average,Medium brown,Absent,Absent ,Violet ,light yellow,Everything but medulla ,Decumbent,"Green, with many spots",Straight,7 pairs,3 pairs,0.32 kg,11,Late,4000 - 4200 msnm,Tolerant,Tolerant,"Green, with abundant spots ",Lightly pigmented along length and joint,Scarce,Rotated ,light white,Absent,Absent      ,Without anthocyanins   ,Without anthocyanins  ,Violet,White,in buds   ,"It is a variety of commercial value for farmers, since it is demanded by flake companies. It was introduced from Andahuaylas (Apurímac) around 2002 and promoted by MINAGRI, NGOs and chip processing companies. It has quickly become a popular and common variety in Huancavelica","Introduced by the Government, NGOs and Potato Chips Companies","Parboiled, flakes",Intermediate
Qillu Tornillo,1,Indirect/Object and Color,Solanum tuberosum (Group Goniocalyx),Scarce ,Oblong ,Average,Medium brown,Absent,Absent ,Cream ,Absent,Absent   ,Erect,"Green, with few spots",Straight,6 pairs,3 pairs,0.93 kg,27,Late,3600 - 4200 msnm,Tolerant,Resistant,"Pigmented, with little green ",Lightly pigmented along length and joint,Scarce,Pentagonal ,light purple,White,Acumen - underside    ,Without anthocyanins   ,Pigmented ovary  ,White,Red,At base   ,"It is a variety that is planted mostly in chaqru. When it is planted in high areas its flavor is unpleasant, however if it is planted in low areas it is very tasty. It is not useful for making chuño because it does not resist being stepped on. According to farmers, it has kidney healing properties.",,"Parboiled, soup, chuño",Intermediate
Qori Markina,1,Indirect/Object and Color,Solanum tuberosum (Group Andigenum),Abundant ,Round ,Average,deep yellow,Red,Scattered spots,Yellow ,Violet,narrow ring  ,Decumbent,Green   ,Straight,6 pairs,3 pairs,0.55 kg,19,Late,3900 - 4000 msnm,Tolerant,Resistant,"Pigmented, with little green ",Fully pigmented     ,Moderate,Very rotated,Intense red-purple,Absent,Absent      ,Pigmented bands   ,Without anthocyanins  ,Purple,White,in buds   ,"It is a very old variety, “from the grandparents”. According to farmers, their tubers, when parboiled after being exposed to the sun, have a bitter taste. Some farmers say that its name markina means a platform similar to a stretcher that is built to store potatoes and that is not easily destroyed. Others attribute it to the surname of an ancient resident of the place.",,"Parboiled, chuño, soup, stew",Intermediate
Qori Tarmeña,1,Direct/Origin and Tuber Color,Solanum tuberosum (Group Andigenum),Abundant ,Compressed ,Average,Intense red-purple,Blackish,Few stains,Cream ,Violet,narrow vascular ring ,Decumbent,"Green, with many spots",Wavy,4 pairs,2 pairs,0.32 kg,21,Intermediate,3800 - 4200 msnm,Susceptible,Susceptible,"Pigmented, with little green ",Fully pigmented     ,Moderate,Rotated ,Intermediate purple,Absent,Absent      ,Pigmented bands   ,Pigmented inner ovary wall,Purple,White,at apex   ,It is a variety possibly from Tarma (Junín). It is characterized by having a floury texture and a very pleasant flavor.,,"Parboiled, chuño, soup",Intermediate
Qullqi Tupu,1,Indirect/Object,Solanum tuberosum (Group Andigenum),Infrequent,Compressed ,Average,Intermediate red-purple,Yellow,Scattered spots,light yellow,Absent,Absent   ,Decumbent,Green   ,Wavy,4 pairs,2 pairs,0.44 kg,20,Intermediate,3800 - 4000 msnm,Susceptible,Susceptible,"Pigmented, with abundant green ",Green      ,Moderate,Rotated ,light purple,White,Acumen - underside    ,Without anthocyanins   ,Without anthocyanins  ,Red,White,in buds   ,It is a rare variety that is mostly planted in chaqru for self-consumption. It has thick skin.,Family consumption,"Parboiled, chuño, soup",Intermediate
Qupuraki,3,Direct/Tuber Shape,Solanum tuberosum (Group Stenotumum),Very scarce,Oblong-elongated ,Deep,light purple,Absent,Absent ,White ,Absent,Absent   ,Decumbent,Green   ,Straight,7 pairs,3 pairs,0.44 kg,13,Intermediate,3800 - 4000 msnm,Tolerant,Susceptible,"Pigmented, with little green ",Lightly pigmented along length and joint,Scarce,Starry ,Intermediate violet,Absent,Absent      ,Pigmented bands and apex ,Pigmented style  ,Violet,White,in buds   ,"It is a scarce, slightly bitter variety that is mostly used to make chuño. Farmers say that the tuber is slightly spicy so they taste it as if they were accompanying potatoes with chili.",,"Parboiled, soup, chuño",Short
Romano Suytu,2,Direct/Tuber Shape,Solanum tuberosum (Group Chaucha),Scarce ,Oblong-elongated ,Superficial,light brown,Purple,Scattered spots,Cream ,Absent,Absent   ,Decumbent,"Green, with few spots",Wavy,4 pairs,2 pairs,0.85 kg,14,Intermediate,3800 - 4300 msnm,Susceptible,Susceptible,"Pigmented, with abundant green ",Lightly pigmented along length and joint,Moderate,Rotated ,light purple,White,Acumen - underside    ,Without anthocyanins   ,Pigmented inner ovary wall,Purple,White,Few stains throughout,"It is a variety that is only planted in chaqru. Currently it is in high demand in the local, regional and national market due to its pleasant flavor.",Commercial,"Parboiled, chuño, pachamanca, soup",Intermediate
Rosado Aqu Suytu,4,Direct/Tuber Color and Shape,Solanum tuberosum (Group Chaucha),Abundant ,Oblong-elongated ,Average,light yellow,Red,Splattered stains,White ,Absent,Absent   ,Decumbent,"Green, with few spots",Straight,5 pairs,2 pairs,0.44 kg,21,Intermediate,3800 - 4200 msnm,Susceptible,Susceptible,"Green, with abundant spots ",Lightly pigmented along length and joint,Scarce,Rotated ,Intense red-purple,Absent,Absent      ,Without anthocyanins   ,Without anthocyanins  ,Purple,White,at apex   ,It is a variety that is used for bartering and also for sale. It is generally planted separately. It is one of the varieties from the Huancavelica Region that is most sold in the markets of the province and in the capital.,Commercial and Barter,"Parboiled, snack (ccoqao), pachamanca, chuño",Short
Rosado Pumapa Makin,1,Indirect/Animal and Color,Solanum tuberosum (Group Andigenum),Scarce ,Oblong (digitated),Deep,Intermediate red-purple,Brown,Splattered stains,light yellow,Absent,Absent   ,Semi-erect,"Green, with few spots",Wavy,3 pairs,1 pair,0.5 kg,12,Intermediate,3800 - 4300 msnm,Tolerant,Tolerant,"Green, with few spots ",Lightly pigmented along length and joint,Scarce,Rotated ,Intermediate white,Absent,Absent      ,Without anthocyanins   ,Pigmented inner ovary wall,Red,White,at apex   ,Farmers in the area consider it an “old potato” or “grandfather's potato.” Nowadays it is only found in the custodians' farms.,,Parboiled,Intermediate
